acousticness,instrumentalness,duration_ms,energy,loudness,valence,speechiness,liveness,danceability,tempo,is_hit,popularity,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World
0.858,0.000164,234031,0.446,-8.99,0.15,0.0344,0.103,0.599,105.347,0,33,0,1,0,0,0,0,0,0,0,0,0
0.0385,0.0857,234851,0.754,-7.514,0.199,0.0507,0.08,0.483,105.026,0,32,0,1,0,0,0,0,0,0,0,0,0
0.000273,0.865,159973,0.423,-13.61,0.0389,0.0637,0.117,0.639,133.022,1,51,0,1,0,0,0,0,0,0,0,0,0
0.0639,0.000101,213120,0.538,-13.318,0.753,0.0316,0.0767,0.751,123.028,0,0,0,0,0,0,0,0,0,1,0,0,0
0.316,0.000418,263000,0.793,-7.803,0.968,0.0482,0.046,0.807,100.328,0,27,0,0,0,1,0,0,0,0,0,0,0
0.962,0.911,336200,0.185,-20.519,0.162,0.0417,0.0958,0.403,104.517,0,0,1,0,0,0,0,1,0,1,0,0,0
0.638,1.75e-05,184257,0.412,-8.213,0.281,0.0779,0.0678,0.67,130.005,1,61,0,0,0,0,0,1,0,0,0,0,0
0.00588,0.0252,380203,0.924,-6.881,0.742,0.0766,0.474,0.746,150.006,0,27,0,1,0,0,0,0,0,0,0,0,0
0.118,0.0,186428,0.742,-4.227,0.561,0.118,0.118,0.808,99.961,1,50,0,1,0,0,0,0,0,0,0,0,0
0.000919,0.744,330188,0.923,-4.444,0.0998,0.0694,0.377,0.226,134.09,0,47,0,0,0,0,1,0,0,0,0,0,0
0.021,0.000136,264161,0.648,-11.719,0.979,0.0344,0.25,0.766,126.035,0,31,0,0,0,0,0,0,0,0,0,1,0
0.94,0.339,162412,0.185,-16.199,0.539,0.0727,0.103,0.878,114.594,1,50,0,0,0,0,0,1,0,0,0,0,0
0.00122,0.00239,289640,0.91,-7.926,0.649,0.0441,0.103,0.419,179.986,0,38,0,0,0,0,0,0,0,0,0,0,1
0.0412,0.381,303296,0.413,-11.378,0.349,0.0248,0.107,0.426,93.636,1,62,0,0,0,0,0,1,0,0,0,1,0
0.142,5.28e-05,219333,0.683,-9.647,0.271,0.0282,0.279,0.37,95.955,0,23,0,0,0,0,0,0,0,0,0,1,0
0.00483,0.884,312357,0.638,-6.781,0.146,0.0378,0.0662,0.202,94.329,0,25,0,0,0,0,0,0,0,0,0,0,1
0.294,0.000939,214480,0.668,-12.467,0.927,0.0302,0.15,0.702,137.673,0,24,0,0,0,0,0,0,0,1,0,0,0
0.315,8.42e-05,255117,0.742,-3.554,0.246,0.061,0.0836,0.519,127.971,0,48,0,1,0,0,0,0,0,0,0,0,0
0.394,0.0,228546,0.923,-6.374,0.863,0.0638,0.104,0.676,159.955,1,59,0,0,0,1,0,0,0,0,0,0,0
0.44,6.82e-06,268442,0.89,-5.022,0.283,0.187,0.0854,0.753,87.015,1,58,0,0,0,0,0,0,0,1,1,0,0
0.346,0.0677,362480,0.337,-7.243,0.193,0.0274,0.174,0.518,112.131,0,41,0,0,0,0,0,0,0,0,0,1,0
0.001,0.0,203426,0.819,-3.792,0.425,0.0881,0.295,0.497,179.927,0,25,0,0,0,0,0,1,0,0,0,0,0
0.059,2.04e-06,213247,0.956,-0.502,0.446,0.0748,0.142,0.562,176.056,0,19,0,1,0,0,0,0,0,0,0,0,0
0.172,0.0,158083,0.692,-5.431,0.68,0.112,0.191,0.665,74.474,0,1,0,1,0,0,0,0,0,0,0,0,0
